"Altitude", "TempKelvin", "Pressure"
3.887,702.0,5.324E+01,1.0034
3.582,704.7,5.408E+01,1.0039
3.312,707.0,5.484E+01,1.0044
3.041,708.7,5.566E+01,1.0047
2.805,710.7,5.634E+01,1.0051
2.517,712.8,5.721E+01,1.0056
2.229,715.0,5.808E+01,1.0060
1.953,717.4,5.889E+01,1.0065
1.673,719.7,5.973E+01,1.0069
1.405,722.0,6.054E+01,1.0074
1.133,724.0,6.140E+01,1.0078
0.89,725.5,6.221E+01,1.0081
0.611,728.0,6.307E+01,1.0086
0.362,730.0,6.386E+01,1.0090
0.101,731.7,6.475E+01,1.0093
-0.014,732.5,6.513E+01,1.0095
-0.1,733.0,6.544E+01,1.0096
