"Altitude", "TempKelvin", "Pressure"
19.043,583.3,2.156E+01
18.988,583.9,2.163E+01
18.905,584.7,2.175E+01
18.816,585.0,2.189E+01
18.725,585.8,2.201E+01
18.608,586.2,2.220E+01
18.499,587.0,2.237E+01
18.412,587.6,2.250E+01
18.331,588.2,2.262E+01
18.257,588.8,2.273E+01
18.195,589.4,2.282E+01
18.099,590.0,2.296E+01
18.002,590.6,2.312E+01
17.932,591.2,2.322E+01
17.860,591.8,2.333E+01
17.782,592.4,2.345E+01
17.716,593.0,2.355E+01
17.652,593.6,2.364E+01
17.584,594.0,2.375E+01
17.523,594.5,2.384E+01
17.451,595.3,2.394E+01
17.377,595.7,2.406E+01
17.293,596.2,2.420E+01
17.215,596.7,2.433E+01
17.139,597.3,2.445E+01
17.065,598.1,2.456E+01
16.993,598.7,2.467E+01
16.935,599.3,2.475E+01
16.867,599.7,2.487E+01
16.787,600.1,2.500E+01
16.715,600.7,2.512E+01
16.626,601.3,2.526E+01
16.541,601.9,2.541E+01
16.477,602.5,2.550E+01
16.410,602.9,2.562E+01
16.340,603.5,2.573E+01
16.284,604.1,2.581E+01
16.215,604.5,2.593E+01
16.145,604.9,2.606E+01
16.089,605.5,2.614E+01
16.020,605.9,2.626E+01
15.951,606.5,2.637E+01
15.892,607.1,2.647E+01
15.834,607.7,2.655E+01
15.778,608.1,2.665E+01
15.719,608.7,2.674E+01
15.636,609.1,2.690E+01
15.551,609.7,2.704E+01
15.462,610.3,2.720E+01
15.391,610.5,2.734E+01
15.321,611.3,2.744E+01
15.255,611.8,2.755E+01
15.186,612.2,2.768E+01
15.122,612.6,2.779E+01
15.056,613.2,2.791E+01
15.005,613.8,2.798E+01
14.948,614.2,2.809E+01
14.886,614.8,2.819E+01
14.810,615.4,2.832E+01
14.729,615.8,2.848E+01
14.648,616.2,2.863E+01
14.570,616.8,2.877E+01
14.501,617.2,2.890E+01
14.428,617.8,2.903E+01
14.357,618.2,2.917E+01
14.291,618.6,2.929E+01
14.227,619.2,2.940E+01
14.168,619.6,2.951E+01
14.114,620.2,2.960E+01
14.047,620.6,2.973E+01
13.982,621.0,2.985E+01
13.918,621.6,2.997E+01
13.856,622.2,3.008E+01
13.802,622.6,3.018E+01
13.726,623.0,3.033E+01
13.634,623.4,3.052E+01
13.551,624.0,3.067E+01
13.478,624.4,3.082E+01
13.421,624.8,3.093E+01
13.372,625.4,3.101E+01
13.306,626.0,3.113E+01
13.230,626.4,3.129E+01
13.157,626.8,3.144E+01
13.079,627.2,3.160E+01
12.599,630.9,3.254E+01
12.077,635.5,3.355E+01
11.582,638.9,3.459E+01
11.090,641.9,3.566E+01
10.602,645.9,3.670E+01
10.128,650.1,3.771E+01
9.656,654.3,3.872E+01
9.188,657.4,3.982E+01
8.739,660.3,4.090E+01
8.298,663.9,4.194E+01
7.849,667.9,4.298E+01
7.424,670.9,4.405E+01
6.999,673.9,4.514E+01
6.573,677.9,4.618E+01
6.148,680.9,4.730E+01
5.733,683.9,4.842E+01
5.315,687.4,4.953E+01
4.908,690.9,5.061E+01
4.497,694.2,5.175E+01
4.095,697.9,5.284E+01
3.696,700.4,5.404E+01
3.306,703.9,5.513E+01
2.930,706.9,5.623E+01
2.550,710.3,5.732E+01
2.179,713.9,5.837E+01
1.811,716.4,5.953E+01
1.451,718.9,6.068E+01
1.088,721.9,6.181E+01
0.733,724.9,6.292E+01
0.381,727.9,6.403E+01
0.124,729.5,6.492E+01
0.000,731.0,6.528E+01
