t, sec	V, m/s	z, km	rho, kg m-3	  p, mb		T, K    -dz/dt, m/s
11670	4701.7	61.915	2.4869e-05	0.0072414	152.63	958.00					
11670	4700.2	61.436	2.6353e-05	0.0076940	152.82	958.00					
11671	4698.5	60.957	2.8070e-05	0.0081638	152.24	956.00					
11671	4696.8	60.479	3.0042e-05	0.0086645	150.96	952.00					
11672	4694.9	60.003	3.2238e-05	0.0092002	149.38	952.00					
11672	4692.8	59.527	3.4819e-05	0.0097755	146.96	950.00					
11673	4690.6	59.052	3.7857e-05	0.010398	143.77	946.00					
11673	4688.1	58.579	4.0753e-05	0.011071	142.20	944.00					
11674	4685.4	58.107	4.3624e-05	0.011791	141.48	941.99					
11674	4682.4	57.636	4.7036e-05	0.012562	139.80	940.00					
11675	4679.1	57.166	5.1065e-05	0.013395	137.30	936.00					
11675	4675.5	56.698	5.4792e-05	0.014293	136.54	936.00					
11676	4671.6	56.230	5.8381e-05	0.015249	136.72	930.00					
11676	4667.5	55.765	6.2077e-05	0.016264	137.14	928.00					
11677	4663.0	55.301	6.5803e-05	0.017339	137.93	925.99					
11677	4658.1	54.838	6.9650e-05	0.018474	138.84	922.00					
11678	4653.0	54.377	7.3531e-05	0.019670	140.02	918.00					
11678	4647.5	53.918	7.7772e-05	0.020929	140.86	916.00					
11679	4641.7	53.460	8.2453e-05	0.022258	141.30	911.99					
11679	4635.5	53.004	8.6734e-05	0.023658	142.78	908.00					
11680	4628.9	52.550	9.0851e-05	0.025121	144.74	906.00					
11680	4621.9	52.097	9.5461e-05	0.026649	146.12	900.00					
11681	4614.7	51.647	9.9941e-05	0.028246	147.94	896.00					
11681	4607.1	51.199	0.00010475	0.029920	149.47	894.00					
11682	4599.1	50.752	0.00010968	0.031650	151.04	888.00					
11682	4590.8	50.308	0.00011573	0.033470	151.36	884.00					
11683	4582.0	49.866	0.00012322	0.035384	150.31	880.00					
11683	4572.6	49.426	0.00013092	0.037416	149.59	874.00					
11684	4562.7	48.989	0.00013880	0.039561	149.19	870.00					
11684	4552.2	48.554	0.00014703	0.041822	148.89	866.00					
11685	4541.1	48.121	0.00015559	0.044203	148.71	857.99					
11685	4529.5	47.692	0.00016460	0.046707	148.53	856.00					
11686	4517.2	47.264	0.00017400	0.049340	148.43	848.00					
11686	4504.3	46.840	0.00018418	0.052106	148.08	842.00					
11687	4490.6	46.419	0.00019528	0.055017	147.47	838.00					
11687	4476.2	46.000	0.00020697	0.058083	146.90	830.00					
11688	4461.0	45.585	0.00021954	0.061310	146.18	824.00					
11688	4445.1	45.173	0.00023179	0.064700	146.11	816.00					
11689	4428.4	44.765	0.00024343	0.068242	146.74	1010.0					
11689	4411.0	44.260	0.00025565	0.071928	147.27	604.00					
11690	4392.9	43.958	0.00026868	0.075768	147.61	794.00					
11690	4374.0	43.561	0.00028172	0.079764	148.20	788.00					
11691	4354.3	43.167	0.00029481	0.083910	148.98	780.00					
11691	4334.0	42.777	0.00030783	0.088202	149.98	772.00					
11692	4313.0	42.391	0.00032068	0.092633	151.20	764.00					
11692	4291.4	42.009	0.00033383	0.097199	152.41	754.00					
11693	4269.1	41.632	0.00034716	0.1019	153.64	746.00					
11693	4246.2	41.259	0.00036125	0.10673	154.66	738.00					
11694	4222.6	40.890	0.00037637	0.11171	155.36	730.00					
11694	4198.3	40.525	0.00039150	0.11683	156.21	720.00					
11695	4173.3	40.165	0.00040659	0.12209	157.18	710.00					
11695	4147.8	39.810	0.00042188	0.12748	158.17	700.00					
11696	4121.6	39.460	0.00043715	0.13299	159.25	692.00					
11696	4094.8	39.114	0.00045343	0.13864	160.04	1482.0					
11697	4067.4	38.373	0.00047098	0.14441	160.50	-128.00					
11697	4039.3	38.437	0.00048916	0.15033	160.86	662.00					
11698	4010.6	38.106	0.00050848	0.15638	160.98	650.00					
11698	3981.2	37.781	0.00052693	0.16258	161.50	642.00					
11699	3951.3	37.460	0.00054416	0.16668	162.45	632.00					
11699	3920.9	37.144	0.00056124	0.17529	163.48	620.00					
11700	3890.1	36.834	0.00057768	0.18178	164.71	610.00					
11700	3858.9	36.529	0.00059551	0.18836	165.56	600.00					
11701	3827.3	36.229	0.00061535	0.19503	165.90	590.00					
11701	3795.2	35.934	0.00063500	0.20180	166.35	579.99					
11702	3762.7	35.644	0.00065444	0.20867	166.89	168.00					
11702	3729.8	35.560	0.00067354	0.21561	167.56	958.00					
11703	3696.6	35.081	0.00069190	0.22261	168.41	546.01					
11703	3663.2	34.808	0.00071073	0.22966	169.14	536.00					
11704	3629.6	34.540	0.00073001	0.23677	169.77	526.00					
11704	3595.7	34.277	0.00074989	0.24393	170.27	514.00					
11705	3561.5	34.020	0.00077063	0.25114	170.59	504.00					
11705	3527.2	33.768	0.00079133	0.25840	170.92	494.00					
11706	3492.6	33.521	0.00081223	0.26569	171.22	482.00					
11706	3457.7	33.280	0.00083207	0.27302	171.75	474.00					
11707	3423.2	33.043	0.00085019	0.28035	172.60	462.00					
11707	3388.5	32.812	0.00086870	0.28767	173.34	450.00					
11708	3353.8	32.587	0.00088765	0.29500	173.96	442.00					
11708	3319.2	32.366	0.00090686	0.30232	174.50	432.00					
11709	3284.5	32.150	0.00092610	0.30962	175.00	420.00					
11709	3249.9	31.940	0.00094678	0.31691	175.21	1132.0					
11710	3215.3	31.374	0.00096982	0.32420	174.98	-320.00					
11710	3180.7	31.534	0.00099184	0.33149	174.94	392.00					
11711	3146.2	31.338	0.0010127	0.22876	175.09	382.00					
11711	3111.7	31.147	0.0010320	0.34599	175.49	372.00					
11712	3077.5	30.961	0.0010490	0.35318	176.24	364.00					
11712	3043.6	30.779	0.0010660	0.36030	176.92	352.00					
11713	3009.9	30.603	0.0010830	0.36735	177.56	346.00					
11713	2976.5	30.430	0.0011005	0.37434	178.05	336.00					
11714	2943.4	30.262	0.0011190	0.38127	178.35	326.00					
11714	2910.5	30.099	0.0011372	0.38813	178.65	320.00					
11715	2877.9	29.939	0.0011548	0.39493	179.02	310.00					
11715	2845.6	29.784	0.0011735	0.40165	179.16	302.00					
11716	2813.5	29.633	0.0011943	0.40831	178.96	294.00					
11716	2781.7	29.486	0.0012139	0.41491	178.90	286.00					
11717	2750.1	29.343	0.0012323	0.42143	179.01	278.00					
11717	2718.9	29.204	0.0012493	0.42787	179.27	270.00					
11718	2688.1	29.069	0.0012641	0.43423	179.80	264.00					
11718	2657.6	28.937	0.0012791	0.44048	180.25	256.00					
11719	2627.6	28.809	0.0012945	0.44664	180.60	248.00					
11719	2597.9	28.685	0.0013094	0.45270	180.97	242.00					
11720	2568.7	28.564	0.0013238	0.45867	181.37	234.00					
11720	2539.8	28.447	0.0013375	0.46454	181.81	230.00					
11721	2511.4	28.332	0.0013503	0.47030	182.32	222.00					
11721	2483.4	28.221	0.0013630	0.47596	182.78	216.00					
11722	2455.8	28.113	0.0013760	0.48152	183.18	210.00					
11722	2428.7	28.008	0.0013880	0.48698	183.65	204.00					
11723	2401.9	27.906	0.0013986	0.49234	184.26	198.00					
11723	2375.6	27.807	0.0014096	0.49759	184.77	192.00					
11724	2349.8	27.711	0.0014212	0.50274	185.16	188.00					
11724	2324.3	27.617	0.0014329	0.50779	185.49	182.00					
11725	2299.2	27.526	0.0014451	0.51274	185.73	178.00					
11725	2274.5	27.437	0.0014563	0.51760	186.04	172.00					
11726	2250.3	27.351	0.0014665	0.52237	186.45	166.00					
11726	2226.4	27.268	0.0014759	0.52703	186.92	164.00					
11727	2202.9	27.186	0.0014838	0.53161	187.53	158.00					
11727	2179.9	27.107	0.0014922	0.53608	188.04	154.00					
11728	2157.2	27.030	0.0015016	0.54046	188.40	148.00					
11728	2134.9	26.956	0.0015105	0.54475	188.78	146.00					
11729	2113.1	26.883	0.0015188	0.54895	189.19	142.00					
11729	2091.5	26.812	0.0015268	0.55306	189.61	138.00					
11730	2070.4	26.743	0.0015345	0.55709	190.03	134.00					
11730	2049.6	26.676	0.0015418	0.56103	190.47	130.00					
11731	2029.2	26.611	0.0015486	0.56489	190.94	126.00					
11731	2009.2	26.548	0.0015557	0.56867	191.34	20.960					
											
11766	1029.0	25.810	0.0016307	0.58300	187.00	13.846					
11779	873.10	25.630	0.0016270	0.59100	190.00	35.909					
11801	694.00	24.840	0.0017463	0.64600	193.50	78.573					
11831	536.50	22.530	0.0022166	0.82000	193.50	111.43					
11845	479.00	20.970	0.0025870	0.95800	193.70	130.71					
11859	427.00	19.140	0.0031135	1.1500	193.20	160.00					
11871	389.80	17.220	0.0036976	1.3700	193.80	165.00					
11883	353.90	15.240	0.0043991	1.6400	195.00	169.17					
11895	323.90	13.210	0.0052731	1.9900	197.40	173.33					
11901	308.00	12.170	0.0057853	2.1800	197.10	184.00					
11906	294.50	11.250	0.0063717	2.3900	196.20	179.17					
11918	270.00	9.1000	0.0075127	2.9300	204.00	188.18					
11929	248.70	7.0300	0.0088818	3.5200	207.30	180.91					
11940	225.90	5.0400	0.010621	4.2600	209.80						
											
   ***  THE FOLLOWING X LINES OF DATA ARE FROM EXTRAPOLATION OF THE TIME 11940
DATA POINT TO THE SURFACE ***
		3.0100	0.012207	5.1600	221.10						
		2.5100	0.012650	5.3900	222.80						
		2.0100	0.013120	5.6350	224.70						
		1.5100	0.013590	5.8850	226.50						
		1.0100	0.014090	6.1500	228.30						
		0.51000	0.014610	6.4270	230.10						
		0.0100000	0.015130	6.7070	231.80						
		-0.49000	0.015650	6.9940	233.70						
		-0.99000	0.016220	7.3010	235.50						
		-1.4900	0.016800	7.6200	237.30						
											
  **  THE FOLLOWING DATA POINTS WERE OBTAINED DURING THE PARACHUTE DESCENT
 PHASE, WITH THE TIMING DESCRIBED IN THE ACCOMPANYING DOCUMENT (FINAL THREE
 PARAGRAPHS)  **
11962		2.1700	0.012983	5.5600	224.00	46.111					
11971		1.7550	0.013332	5.7500	225.60	57.867					
11979		1.3210	0.013779	5.9800	227.00	55.167					
11985		0.99000	0.014063	6.1300	228.00	54.000					
11990		0.72000	0.014378	6.3000	229.20	33.091					
12001		0.35600	0.014734	6.4900	230.40	63.714					
12004		0.13300	0.014980	6.6300	231.50						
 ** THE FOLLOWING DATA POINTS WERE APPARENTLY OBTAINED DURING RETRO-ROCKET
 FIRING JUST BEFORE CONTACT WITH THE SURFACE **
		-0.49000	0.015667	7.0000	233.70						
		-0.99000	0.016214	7.3000	235.50						
		-1.4900	0.016796	7.6200	237.30						
