Lower Atmosphere State Properties:  Sounder Probe

ALTITUDE,      PRESSURE,      TEMPERATURE,   DENSITY,  
(KM)           (bars)         (K)            (kg/m3)   

106       .5171E-05      190.1          .1409E-04 
104       .8338E-05      183.0          .2363E-04 
102       .1362E-04      180.7          .3911E-04 
100       .2252E-04      174.1          .6718E-04 
98        .3773E-04      173.3          .1132E-03 
96        .6350E-04      168.9          .1957E-03 
94        .1078E-03      168.9          .3326E-03 
92        .1848E-03      167.1          .5768E-03 
90        .3168E-03      165.4          .9999E-03 
88        .5469E-03      165.2          .1728E-02 
86        .9402E-03      163.8          .2997E-02 
84        .1634E-02      164.7          .5184E-02 
82        .2757E-02      181.1          .7951E-02 
80        .4449E-02      195.8          .1188E-01 
79        .5577E-02      204.1          .1428E-01 
78        .6926E-02      212.4          .1704E-01 
77        .8553E-02      215.1          .2077E-01 
76        .1054E-01      216.9          .2540E-01 
75        .1296E-01      221.1          .3064E-01 
74        .1587E-01      227.3          .3647E-01 
73        .1934E-01      227.8          .4435E-01 
72        .2349E-01      233.5          .5256E-01 
71        .2850E-01      234.9          .6339E-01 
70        .3440E-01      243.5          .7381E-01 
69        .4166E-01      230.5          .9444E-01 

R0=6052.0 km, g0=8.2689 m/s2.                               
                                   
State Properties of the Middle Atmosphere of Venus: Pioneer Venus Day Probe                                   

ALTITUDE, PRESSURE,      TEMPERATURE,   PRESSURE,                   
(KM)      (bars)         (K)            (kg/m3)   
                                   
126       .5046E-07      201.3          .1269E-06 
124       .7428E-07      241.2          .1565E-06 
122       .1038E-06      278.0          .1902E-06 
120       .1470E-06      187.9          .4001E-06 
118       .2542E-06      151.8          .8584E-06 
116       .4571E-06      152.9          .1537E-05 
114       .7732E-06      181.3          .2197E-05 
112       .1229E-05      195.3          .3249E-05 
110       .1913E-05      198.5          .4984E-05 
108       .3013E-05      192.2          .8117E-05 
106       .4823E-05      185.1          .1350E-04 
104       .7813E-05      182.0          .2226E-04 
102       .1275E-04      179.9          .3680E-04 
100       .2140E-04      163.9          .6785E-04 
98        .3757E-04      157.9          .1237E-03 
96        .6621E-04      160.1          .2153E-03 
94        .1143E-03      166.8          .3571E-03 
92        .1946E-03      171.8          .5905E-03 
90        .3271E-03      171.4          .9964E-03 
88        .5469E-03      177.9          .1605E-02 
86        .9156E-03      170.7          .2801E-02 
84        .1539E-02      178.1          .4515E-02 
82        .2522E-02      184.6          .7135E-02 
80        .4040E-02      198.3          .1065E-01 
79        .5052E-02      205.5          .1284E-01 
78        .6279E-02      209.4          .1567E-01 
77        .7788E-02      209.4          .1943E-01 
76        .9655E-02      211.5          .2385E-01 
75        .1193E-01      216.5          .2878E-01 
74        .1466E-01      222.3          .3445E-01 
73        .1795E-01      223.0          .4204E-01 
72        .2196E-01      225.3          .5093E-01 
71        .2674E-01      231.9          .6025E-01 
70        .3257E-01      219.3          .7758E-01 

The altitude reference is the sounder probe landing site at 6052.0 km. 
R0=6051.9 km, g0=8.8697 m/s2.                               
                                   
State Properties of the Middle Atmosphere of Venus: Pioneer Venus North Probe                                 

ALTITUDE, PRESSURE,      TEMPERATURE,   PRESSURE,                              
(KM)      (bars)         (K)            (kg/m3)   
                                   
120       .6933E-07      209.0          .1696E-06 
118       .1235E-06      126.2          .5015E-06 
116       .2582E-06      118.9          .1116E-05 
114       .5291E-06      126.6          .2154E-05 
112       .1040E-05      138.2          .3885E-05 
110       .1851E-05      173.1          .5530E-05 
108       .3015E-05      190.2          .8205E-05 
106       .4788E-05      187.7          .1322E-04 
104       .7643E-05      187.2          .2118E-04 
102       .1247E-04      178.8          .3620E-04 
100       .2067E-04      178.6          .6013E-04 
98        .3383E-04      178.4          .9865E-04 
96        .5492E-04      185.0          .1545E-03 
94        .9039E-04      178.6          .2638E-03 
92        .1529E-03      163.4          .4882E-03 
90        .2678E-03      158.4          .8825E-03 
88        .4649E-03      166.9          .1454E-02 
86        .7932E-03      169.5          .2443E-02 
84        .1330E-02      181.3          .3831E-02 
82        .2141E-02      196.4          .5695E-02 
80        .3369E-02      202.3          .8700E-02 
79        .4201E-02      206.2          .1064E-01 
78        .5221E-02      209.7          .1300E-01 
77        .6458E-02      215.0          .1570E-01 
76        .7953E-02      219.2          .1896E-01 
75        .9752E-02      224.1          .2273E-01 
74        .1190E-01      229.7          .2706E-01 
73        .1447E-01      232.9          .3245E-01 
72        .1756E-01      233.5          .3929E-01 
71        .2132E-01      232.8          .4785E-01 
70        .2592E-01      231.3          .5853E-01 
69        .3152E-01      232.3          .7088E-01 
68        .3821E-01      235.3          .8482E-01 
67        .4650E-01      225.8          .1076E+00 
66        .5733E-01      205.6          .1457E+00 
65        .7108E-01      222.9          .1666E+00 

The altitude reference is the sounder probe landing site at 6052.0 km. 
R0=6053.0 km, g0=8.8665 m/s2.                               
