Altitude,Pressure,TempKelvin
24.545,0.3296,120.3
24.268,0.3346,120.6
23.992,0.3396,121.3
23.718,0.3445,121.9
23.445,0.3495,122.7
18.508,0.4354,129.66
18.403,0.43772,129.74001
18.299,0.44003,129.85001
18.196,0.44234,129.97
18.091,0.4447,130.11
17.68,0.454,130.78
17.253,0.4638,131.56
16.831,0.47365,132.46001
16.357,0.4849,133.13
15.864,0.4968,133.81
15.538,0.5048,134.7
15.219,0.5127,135.49001
14.744,0.5246,136.3
14.277,0.5365,137.17
13.968,0.5445,137.96001
13.061,0.5684,139.42
12.62,0.5803,140.21001
12.186,0.5922,141
11.757,0.6041,141.89999
11.195,0.62,142.58
10.781,0.6319,143.48
10.373,0.6438,144.16
9.97,0.6557,144.95
9.471,0.67066,146
9.001,0.68496,147
8.53,0.69947,148
8.06,0.71419,149
7.59,0.72911,150
7.119,0.74425,151
6.648,0.7596,152
6.178,0.77517,153
5.707,0.79096,154
5.236,0.80696,155
4.765,0.82319,156
4.294,0.83964,157
3.823,0.85632,158
3.351,0.87323,159
2.88,0.89037,160
2.408,0.90773,161
1.936,0.92534,162
1.464,0.94318,163
0.992,0.96126,164
0.52,0.97958,165
0.047,0.99814,166
0,1,166.10001
-0.427,1.017,167
-0.899,1.036,168
-1.372,1.0553,169
-1.846,1.0749,170
-2.319,1.0947,171
-2.794,1.1148,172
-3.267,1.1351,173
-3.742,1.1557,174
-4.218,1.1766,175
-4.692,1.1977,176
-5.167,1.2191,177
-5.644,1.2408,178
-6.119,1.2627,179
-6.596,1.285,180
-7.073,1.3075,181
-7.548,1.3302,182
-8.026,1.3533,183
-8.504,1.3767,184
-8.981,1.4003,185
-9.458,1.4242,186
-9.938,1.4485,187
-10.416,1.473,188
-10.895,1.4978,189
-11.374,1.5229,190
-11.853,1.5483,191
-12.334,1.5741,192
-12.813,1.6001,193
-13.295,1.6265,194
-13.774,1.6531,195
-14.256,1.6801,196
-14.737,1.7074,197
-15.219,1.735,198
-15.7,1.7629,199
-16.183,1.7912,200
-16.666,1.8198,201
-17.149,1.8487,202
-17.633,1.878,203
-18.115,1.9075,204
-18.6,1.9375,205
-19.083,1.9677,206
-19.568,1.9983,207
-20.053,2.0293,208
-20.538,2.0606,209
-21.024,2.0923,210
-21.51,2.1243,211
-21.997,2.1567,212
-22.483,2.1894,213
-22.97,2.2225,214
-23.456,2.2559,215
-23.943,2.2897,216
-24.431,2.3239,217
-24.919,2.3585,218
-25.407,2.3934,219
-25.896,2.4287,220
-26.385,2.4644,221
-26.874,2.5005,222
-27.363,2.5369,223
-27.852,2.5737,224
-28.343,2.611,225
-28.833,2.6486,226
-29.323,2.6866,227
-29.814,2.725,228
-30.306,2.7639,229
-30.797,2.8031,230
-31.288,2.8427,231
-31.781,2.8828,232
-32.273,2.9232,233
-32.766,2.9641,234
-33.257,3.0053,235
-33.75,3.047,236
-34.243,3.0891,237
-34.738,3.1317,238
-35.231,3.1746,239
-35.725,3.218,240
-36.22,3.2619,241
-36.714,3.3061,242
-37.208,3.3508,243
-37.703,3.3959,244
-38.198,3.4415,245
-38.694,3.4875,246
-39.19,3.534,247
-39.685,3.5809,248
-40.182,3.6283,249
-40.678,3.6761,250
-41.174,3.7244,251
-41.671,3.7731,252
-42.169,3.8224,253
-42.665,3.872,254
-43.163,3.9222,255
-43.66,3.9728,256
-44.158,4.0239,257
-44.656,4.0754,258
-45.154,4.1275,259
-45.653,4.18,260
-46.151,4.233,261
-46.65,4.2865,262
-47.149,4.3405,263
-47.648,4.395,264
-48.147,4.4499,265
-48.647,4.5054,266
-49.147,4.5614,267
-49.647,4.6179,268
-50.147,4.6749,269
-50.647,4.7324,270
-51.148,4.7904,271
-51.648,4.8489,272
-52.149,4.908,273
-52.65,4.9675,274
-53.151,5.0276,275
-53.652,5.0882,276
-54.154,5.1494,277
-54.655,5.211,278
-55.157,5.2732,279
-55.659,5.336,280
-56.161,5.3993,281
-56.663,5.4631,282
-57.166,5.5275,283
-57.669,5.5924,284
-58.171,5.6578,285
-58.673,5.7238,286
-59.177,5.7904,287
-59.679,5.8575,288
-60.183,5.9252,289
-60.686,5.9934,290
-61.189,6.0622,291
-61.693,6.1316,292
-62.197,6.2016,293
-62.7,6.2721,294
-63.204,6.3432,295
-63.708,6.4149,296
-64.212,6.4871,297
-64.717,6.56,298
-65.221,6.6334,299
-65.725,6.7074,300
-66.23,6.782,301
-66.735,6.8573,302
-67.24,6.9331,303
-67.744,7.0095,304
-68.249,7.0865,305
-68.754,7.1641,306
-69.259,7.2423,307
-69.765,7.3212,308
-70.27,7.4006,309
-70.775,7.4807,310
-71.281,7.5614,311
-71.787,7.6427,312
-72.292,7.7246,313
-72.798,7.8072,314
-73.304,7.8904,315
-73.81,7.9742,316
-74.316,8.0587,317
-74.822,8.1438,318
-75.328,8.2296,319
-75.835,8.316,320
-76.341,8.403,321
-76.847,8.4907,322
-77.354,8.579,323
-77.86,8.668,324
-78.367,8.7577,325
-78.874,8.848,326
-79.38,8.939,327
-79.887,9.0306,328
-80.394,9.123,329
-80.901,9.216,330
-81.409,9.3097,331
-81.915,9.404,332
-82.422,9.499,333
-82.929,9.5947,334
-83.437,9.6911,335
-83.944,9.7882,336
-84.452,9.886,337
-84.959,9.9845,338
-85.468,10.084,339
-85.976,10.184,340
-86.481,10.284,341
-86.987,10.385,342
-87.495,10.487,343
-88.004,10.59,344
-88.515,10.694,345
-89.022,10.798,346
-89.531,10.903,347
-90.036,11.008,348
-90.542,11.114,349
-91.05,11.221,350
-91.559,11.329,351
-92.07,11.438,352
-92.577,11.547,353
-93.085,11.657,354
-93.594,11.768,355
-94.1,11.879,356
-94.608,11.991,357
-95.116,12.104,358
-95.626,12.218,359
-96.132,12.332,360
-96.644,12.448,361
-97.152,12.564,362
-97.657,12.68,363
-98.168,12.798,364
-98.675,12.916,365
-99.183,13.035,366
-99.693,13.155,367
-100.2,13.276,368
-100.71,13.397,369
-101.22,13.519,370
-101.73,13.642,371
-102.24,13.766,372
-102.75,13.891,373
-103.25,14.016,374
-103.76,14.142,375
-104.27,14.269,376
-104.78,14.397,377
-105.29,14.526,378
-105.8,14.655,379
-106.31,14.785,380
-106.82,14.916,381
-107.32,15.048,382
-107.83,15.181,383
-108.34,15.314,384
-108.85,15.448,385
-109.36,15.583,386
-109.87,15.72,387
-110.38,15.856,388
-110.89,15.994,389
-111.4,16.133,390
-111.9,16.272,391
-112.41,16.412,392
-112.92,16.553,393
-113.43,16.695,394
-113.94,16.838,395
-114.45,16.982,396
-114.96,17.126,397
-115.47,17.271,398
-115.98,17.418,399
-116.49,17.565,400
-117,17.713,401
-117.51,17.862,402
-118.01,18.011,403
-118.52,18.162,404
-119.03,18.313,405
-119.54,18.466,406
-120.05,18.619,407
-120.56,18.773,408
-121,18.928,409
-121.58,19.084,410
-122.09,19.241,411
-122.6,19.399,412
-123.11,19.558,413
-123.61,19.717,414
-124.12,19.878,415
-124.64,20.04,416
-125.14,20.202,417
-125.65,20.365,418
-126.16,20.53,419
-126.67,20.695,420
-127.18,20.861,421
-127.69,21.028,422
-128.2,21.196,423
-128.71001,21.365,424
-129.22,21.535,425
-129.73,21.706,426
-130.24001,21.877,427
-130.74001,22.05,428
